id,priority,title,report
"F72","P2","Accepted `is:archived` conditions never match archived messages in rules","backend-details.md#f72"
"F73","P2","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics","backend-details.md#f73"
"F74","P2","The rule search assertion accepts invalid filters that SQL silently removes","backend-details.md#f74"
"F75","P1","A partly applied rule can invalidate its own match and permanently skip remaining actions","backend-details.md#f75"
"F76","P2","Label renames and deletions leave saved searches and rule predicates inconsistent","backend-details.md#f76"
"F77","P2","Normal duplicate-name input escapes as an unexpected database error","backend-details.md#f77"
"F78","P1","Interactive memory requests bypass entitlement and balance checks","backend-details.md#f78"
"F79","P2","Memory RPCs turn arbitrary backend failures into verbatim user errors","backend-details.md#f79"
"F80","P2","Saving reordered milestones can leave the form permanently dirty","ui-details.md#f80"
"F81","P2","Usage settings accept edits during save and then discard them","ui-details.md#f81"
"F82","P2","Managed mailbox name remains at an unsaved value after failure","ui-details.md#f82"
"F83","P3","Clearing a Gmail name never reaches a clean saved state","ui-details.md#f83"
"F84","P2","IME confirmation can submit an unfinished chat prompt","ui-details.md#f84"
"F85","P2","Multiple mentions force a full editable-DOM rebuild on every input","ui-details.md#f85"
"F86","P2","Settings search result activation requires a mouse-down event","ui-details.md#f86"
"F87","P3","Domain mode cards look clickable but only their radio circles work","ui-details.md#f87"
"F88","P3","Empty token suggestions advertise an active option that does not exist","ui-details.md#f88"
"F89","P3","Keyboard shortcuts close button omits the required shared tooltip","ui-details.md#f89"
"F90","P3","Message-image error handling uses a redundant ref and synchronization effect","ui-details.md#f90"
"F91","P2","Transcription completion can append after the active mailbox changes","ui-details.md#f91"
"F92","P2","Managed-mail invitations expose an action that requires a Gmail mailbox","mail-details.md#f92"
"F93","P2","Parsing combined status filters silently keeps only the last one","mail-details.md#f93"
"F94","P2","Search normalization changes quoted phrases and Boolean expressions","mail-details.md#f94"
"F95","P2","Mojibake repair truncates unrelated Unicode characters","mail-details.md#f95"
"F96","P2","Header decoding applies destructive HTML and zero-width cleanup to addresses and subjects","mail-details.md#f96"
"F97","P2","An inline attachment can disappear from both exported attachment lists","mail-details.md#f97"
"F98","P2","Sender extraction mistakes an email in the display name for the actual sender","mail-details.md#f98"
"F99","P2","Recipient validation accepts a valid substring and silently drops another address","mail-details.md#f99"
"F100","P2","Draft save responses return encoded subjects as editable text","mail-details.md#f100"
"F101","P3","SDK base URL silently discards a configured path prefix","mail-details.md#f101"
"F102","P3","Rule-history parsing constructs an argument it never reads","small-cleanup.md#f102"
"F103","P3","A private division lookup carries an unused database override","small-cleanup.md#f103"
"F104","P3","Subscription normalization is followed by impossible checks and a redundant alias","small-cleanup.md#f104"
"F105","P3","Three files independently spell the same client-or-transaction type","small-cleanup.md#f105"
"F106","P3","Live-sync token payload validation is copied between issuer and Worker","small-cleanup.md#f106"
"F107","P2","Zero backfill concurrency reports successful copies without doing them","tooling-details.md#f107"
"F108","P2","The local Worker and Node commands parse the same env file differently","tooling-details.md#f108"
"F109","P2","Secret refresh serializes dotenv values as JSON strings","tooling-details.md#f109"
"F110","P2","Catch-all authorization and claim tests survive removal of every SQL predicate","tooling-details.md#f110"
"F111","P3","Prefetch tests lock down independent call order and do not test their claimed deduplication","tooling-details.md#f111"
"F112","P3","Five dependency declarations have no consumer in their owning workspace","tooling-details.md#f112"
"F113","P3","A complete managed-message deletion implementation is unreachable","tooling-details.md#f113"
"F114","P3","The unused contour renderer retains 323 lines and a lint exception","tooling-details.md#f114"
"F115","P3","The browser terms-cookie writer has no caller","tooling-details.md#f115"
"F116","P3","Obsolete compose and AI compatibility exports remain after caller migration","tooling-details.md#f116"
"F117","P3","PR size label-definition synchronization can never run","tooling-details.md#f117"
"F118","P3","The custom PNG CRC loop duplicates the supported Node builtin","tooling-details.md#f118"
"F119","P3","A compiler exception is attached to a hook that does not match its rationale","tooling-details.md#f119"
"F120","P3","App modules export internal helpers and retain unused small definitions","tooling-details.md#f120"
"F121","P3","SettingsListRow and its exclusive style variant are dead","tooling-details.md#f121"
"F122","P3","MailboxSettingsRow is an unused wrapper inside the live switcher module","tooling-details.md#f122"
