"id","finding","path","line","end_line","export","classification","definition_status","evidence","action","preserve_or_coordinate"
"AE19","F120","apps/web/src/features/settings/domain/managed-demo-mode-setting.ts","13","13","isManagedDemoModeAvailable","remove_export","internal_only","Called locally at lines 16 and 47","Remove export modifier only","Keep the definition and its existing behavior"
"AE20","F120","apps/web/src/lib/preview-personas.ts","14","14","isPreviewPersona","remove_export","unused_reexport","No consumer of this forwarding export; same module directly imports source helper as isPreviewPersonaValue and calls it at lines 44 and 51","Remove named forwarding export only","Preserve aliased direct import and the exported helper in preview-personas.shared.ts"
"AE21","F120","apps/web/src/lib/preview-personas.ts","15","15","previewPersonaCookieName","remove_export","unused_reexport","No consumer of this forwarding export; it is the sole external reference to the unused app/shared cookie-name constant","Remove named forwarding export; coordinate deletion of app/shared constant","Preserve the independent live cookie-name constant in packages/auth"
"AE22","F120","apps/web/src/lib/preview-personas.ts","16","16","previewPersonas","remove_export","unused_reexport","No consumer of this forwarding export; source tuple is used internally by its predicate and PreviewPersona type","Remove named forwarding export; coordinate removal of source tuple export modifier","Preserve shared tuple, predicate and PreviewPersona type export"
"AE23","F121","apps/web/src/features/settings/components/settings-layout.tsx","195","207","SettingsListRow","delete_definition","unused_definition","No import, reexport, JSX use or registry reference; only declaration","Delete unused definition","Keep live settings components and settingsSurfaceVariants; remove its listRow variant at lines 27-28 because this wrapper is its only consumer"
"AE24","F120","apps/web/src/features/settings/components/settings-overview-panel.tsx","132","195","SettingsOverviewContent","remove_export","internal_only","Rendered within the same module at line 124","Remove export modifier only","Keep the rendered component; it is not dead UI"
"AE25","F120","apps/web/src/lib/preview-personas.shared.ts","1","1","previewPersonaCookieName","delete_definition","unused_definition","Only reference is the unused forwarding export in preview-personas.ts; no internal read","Delete unused definition","Remove unused forwarding export in the same change; preserve independent packages/auth constant"
"AE26","F120","apps/web/src/lib/preview-personas.shared.ts","2","2","previewPersonaCookieMaxAgeSeconds","remove_export","internal_only","Used only by local previewPersonaCookieMaxAgeMs derivation at line 4","Remove export modifier only","Keep seconds value and the consumed exported millisecond constant"
"AE27","F120","apps/web/src/lib/preview-personas.shared.ts","5","5","previewPersonas","remove_export","internal_only_after_reexport_cleanup","Used internally by PreviewPersona type at line 7 and predicate at line 13; only external value reference is unused forwarding export","Remove export modifier together with unused facade forwarding export","Preserve tuple, PreviewPersona type export and isPreviewPersona helper export"
"AE28","F122","apps/web/src/features/navigation/components/mailbox-switcher.tsx","1064","1077","MailboxSettingsRow","delete_definition","unused_definition","No import, reexport, JSX use or registry reference; only declaration","Delete unused definition","Keep MailboxSummary and MailboxSummaryProps: the live MailboxSummary uses them at lines 342-345 and renders in the dropdown"
"AE29","F120","apps/web/src/lib/connector-icons.ts","8","14","connectorIcons","remove_export","internal_only","Indexed by the local public accessor at line 17","Remove export modifier only","Keep the definition and its existing behavior"
"AE30","F120","apps/web/src/features/navigation/components/sidebar-surfaces.tsx","20","28","sidebarSurfaceVariants","remove_export","internal_only","Used by local surface components at lines 104, 158 and 197","Remove export modifier only","Keep the definition and its existing behavior"
"AE31","F120","apps/web/src/features/compose/components/compose-editor.tsx","114","120","useComposeEditor","remove_export","internal_only","Called by local editor controls at lines 306, 393 and 605","Remove export modifier only","Keep hook and context; do not delete live compose behavior"
"AE32","F120","apps/web/src/lib/gmail/useful-details-query.ts","9","12","getGmailThreadUsefulDetailsQueryKey","remove_export","internal_only","Used by local queryOptions at line 41","Remove export modifier only","Preserve mailboxId and thread ID key dimensions"
"AE33","F120","apps/web/src/features/settings/components/organization-settings/mail-delivery.ts","26","37","getMailDeliveryMetricsQueryKey","remove_export","internal_only","Used by local queryOptions at line 55","Remove export modifier only","Preserve organization, range and optional mailbox dimensions"
