rule,path,reportedLine,disposition,finding,reason
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-workspace-ui-state.ts","9","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-locale-format-in-render","apps/web/src/features/message-delivery/components/message-delivery-section.tsx","68","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"no-locale-format-in-render","apps/web/src/features/message-delivery/components/message-delivery-section.tsx","119","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"async-await-in-loop","apps/web/src/features/message-delivery/domain/message-delivery-query.ts","88","Rejected","","Message-delivery batching deliberately bounds concurrent page requests; unbounded Promise.all would remove that protection."
"no-high-complexity-react-function","apps/web/src/features/message-list/components/message-list-scroll-pane.tsx","153","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"js-combine-iterations","apps/web/src/features/message-list/components/message-list-scroll-pane.tsx","176","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"no-many-boolean-props","apps/web/src/features/message-list/components/message-row.tsx","537","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","61","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","71","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","82","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","98","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","154","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","181","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","208","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","226","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","234","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","245","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","264","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","290","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","366","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","380","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","410","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","416","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","420","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","470","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","505","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","509","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-list/components/use-message-list-selection.ts","529","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-high-complexity-react-function","apps/web/src/features/message-search/components/message-list-search/use-message-list-search-controller.ts","119","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"todo","apps/web/src/features/message-search/components/message-list-search/use-message-list-search-controller.ts","326","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"react-compiler-no-manual-memoization","apps/web/src/features/message-thread/components/message-body.tsx","108","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/message-thread/components/message-body.tsx","269","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-high-complexity-react-function","apps/web/src/features/message-thread/components/message-view.tsx","1214","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/message-thread/components/message-view.tsx","1429","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-many-boolean-props","apps/web/src/features/navigation/components/mail-sidebar.tsx","229","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"no-layout-property-animation","apps/web/src/features/navigation/components/mailbox-switcher.tsx","525","Not promoted","","Expandable layout intentionally changes height; no measured stutter. Replacing height with scale can change interaction/layout semantics."
"no-layout-property-animation","apps/web/src/features/navigation/components/mailbox-switcher.tsx","528","Not promoted","","Expandable layout intentionally changes height; no measured stutter. Replacing height with scale can change interaction/layout semantics."
"no-layout-property-animation","apps/web/src/features/navigation/components/mailbox-switcher.tsx","532","Not promoted","","Expandable layout intentionally changes height; no measured stutter. Replacing height with scale can change interaction/layout semantics."
"no-high-complexity-react-function","apps/web/src/features/navigation/components/sidebar-label-nav.tsx","301","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-derived-useState","apps/web/src/features/navigation/components/sidebar-surfaces.tsx","50","Rejected","","SidebarEntrance intentionally captures its one-time entrance choice."
"no-high-complexity-react-function","apps/web/src/features/onboarding/components/onboarding-screen.tsx","523","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"react-compiler-no-manual-memoization","apps/web/src/features/onboarding/components/onboarding-screen.tsx","554","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/onboarding/components/onboarding-screen.tsx","563","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/onboarding/components/onboarding-screen.tsx","683","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"js-combine-iterations","apps/web/src/features/onboarding/components/onboarding-screen.tsx","743","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"js-set-map-lookups","apps/web/src/features/onboarding/components/onboarding-screen.tsx","744","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"react-compiler-no-manual-memoization","apps/web/src/features/settings/components/action-simple-editor.tsx","1246","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-high-complexity-react-function","apps/web/src/features/settings/components/add-mailbox-settings-view.tsx","52","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/settings/components/managed-mailbox-detail-settings.tsx","142","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-many-boolean-props","apps/web/src/features/settings/components/managed-mailbox-detail-settings.tsx","366","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"no-prevent-default","apps/web/src/features/settings/components/organization-settings/api-keys-view.tsx","337","Rejected","","Client-side TanStack form handling is intentional; replacing it with a different server-action architecture is not a local fix."
"no-locale-format-in-render","apps/web/src/features/settings/components/organization-settings/domain-detail-view.tsx","69","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"no-high-complexity-react-function","apps/web/src/features/settings/components/organization-settings/mail-delivery-view.tsx","100","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"js-combine-iterations","apps/web/src/features/settings/components/organization-settings/mail-delivery-view.tsx","117","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"no-high-complexity-react-function","apps/web/src/features/settings/components/organization-settings/mail-suppressions-view.tsx","59","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-locale-format-in-render","apps/web/src/features/settings/components/organization-settings/mail-suppressions-view.tsx","259","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"no-locale-format-in-render","apps/web/src/features/settings/components/organization-settings/mail-suppressions-view.tsx","324","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"no-locale-format-in-render","apps/web/src/features/settings/components/organization-settings/mail-suppressions-view.tsx","325","Not promoted","","Locale formatting warning alone does not prove SSR/client mismatch in these loaded settings views. No hydration failure established."
"no-high-complexity-react-function","apps/web/src/features/settings/components/organization-settings/organization-detail-view.tsx","33","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/settings/components/organization-settings/organization-mail-usage-settings.tsx","511","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-derived-useState","apps/web/src/features/settings/components/organization-settings/organization-mail-usage-settings.tsx","521","Narrowed","F80, F81","Key normally resets settings. Verified same-key milestone sorting and newer-edit loss; blanket removal of editable state is wrong."
"no-high-complexity-react-function","apps/web/src/features/settings/components/settings-overview-panel.tsx","70","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/settings/components/settings-screen.tsx","207","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"todo","apps/web/src/lib/audio-recorder.ts","80","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"todo","apps/web/src/lib/audio-recorder.ts","84","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"effect-needs-cleanup","apps/web/src/lib/audio-recorder.ts","100","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"server-sequential-independent-await","apps/web/src/routes/api/v1/send.ts","22","Not promoted","","Authorization must remain before body processing. Import/body-read overlap is a possible micro-optimization, not evidence of the claimed doubled latency."
"url-prefilled-privileged-action","apps/web/src/start.ts","542","Existing finding","F19","Specific returnTo backslash redirect defect is already documented; URL input alone is not a vulnerability."
"js-combine-iterations","packages/ui/src/components/ui/token-field.tsx","63","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
