finding,kind,path,line,detail
"F50","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","460","Recording failures after startup disappear without an error contract"
"F50","finding-reference","apps/web/src/features/compose/components/compose-workspace.tsx","211","Recording failures after startup disappear without an error contract"
"F51","finding-reference","apps/web/src/lib/audio-recorder.ts","68","Audio support detection omits the microphone acquisition API"
"F51","finding-reference","apps/web/src/lib/audio-recorder.ts","81","Audio support detection omits the microphone acquisition API"
"F52","finding-reference","apps/web/src/components/atmospheric-background.tsx","715","Twenty-two conditional class expressions violate the required object syntax"
"F52","finding-reference","packages/ui/src/components/ui/dropdown-menu.tsx","59","Twenty-two conditional class expressions violate the required object syntax"
"F52","finding-reference","packages/ui/src/components/ui/token-field.tsx","91","Twenty-two conditional class expressions violate the required object syntax"
"F53","finding-reference","apps/web/src/features/home/components/reveal.tsx","14","useEntrance is an ordinary value factory named like a React hook"
"F54","finding-reference","packages/gmail/src/service.ts","1088","Immediate values are needlessly wrapped in resolved promises"
"F54","finding-reference","packages/orpc/src/gmail-sync/service.ts","660","Immediate values are needlessly wrapped in resolved promises"
"F54","finding-reference","packages/orpc/src/mailbox/managed-grants.ts","421","Immediate values are needlessly wrapped in resolved promises"
"F54","finding-reference","packages/auth/src/index.ts","156","Immediate values are needlessly wrapped in resolved promises"
"F54","finding-reference","packages/orpc/src/connectors/runtime.ts","751","Immediate values are needlessly wrapped in resolved promises"
"F55","finding-reference","packages/orpc/src/gmail-sync/service.ts","232","Automatic-label usage reporting is copied across provider services"
"F55","finding-reference","packages/orpc/src/managed-mail/automation.ts","223","Automatic-label usage reporting is copied across provider services"
"F56","finding-reference","apps/web/src/features/settings/components/add-mailbox-settings-view.tsx","113","Two settings screens independently define the same mailbox navigation contract"
"F56","finding-reference","apps/web/src/features/settings/components/mailboxes-list-settings-view.tsx","143","Two settings screens independently define the same mailbox navigation contract"
"F57","finding-reference","packages/cloudflare/src/gmail-live-sync-mailbox.ts","10","The Durable Object duplicates the shared Worker error response"
"F57","finding-reference","packages/cloudflare/src/worker-utils.ts","311","The Durable Object duplicates the shared Worker error response"
"F58","finding-reference","apps/web/src/components/providers.tsx","38","QueryClient ownership uses a performance cache and redundant default objects"
"F58","finding-reference","apps/web/src/components/providers.tsx","50","QueryClient ownership uses a performance cache and redundant default objects"
"F59","finding-reference","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","171","Window activity has different initial and subsequent definitions"
"F59","finding-reference","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","180","Window activity has different initial and subsequent definitions"
"F60","finding-reference","packages/cloudflare/src/worker-utils.ts","144","A bounded stream reader uses async recursion for an ordinary loop"
"F61","finding-reference","apps/web/src/routes/api/v1/send.ts","82","The two web JSON body readers have different resource and decoding rules"
"F61","finding-reference","apps/web/src/routes/api/v1/send.ts","97","The two web JSON body readers have different resource and decoding rules"
"F61","finding-reference","apps/web/src/routes/api/v1/send.ts","125","The two web JSON body readers have different resource and decoding rules"
"F61","finding-reference","apps/web/src/lib/limited-json-request.server.ts","28","The two web JSON body readers have different resource and decoding rules"
"F61","finding-reference","apps/web/src/lib/limited-json-request.server.ts","51","The two web JSON body readers have different resource and decoding rules"
"F62","finding-reference","packages/orpc/src/gmail-sync/service.ts","248","Strict event types are followed by impossible undefined checks"
"F62","finding-reference","packages/orpc/src/managed-mail/automation.ts","239","Strict event types are followed by impossible undefined checks"
"F63","finding-reference","apps/web/src/lib/audio-transcription.ts","50","Chat unconditionally transcodes browser audio through a handwritten WAV encoder"
"F63","finding-reference","apps/web/src/lib/audio-transcription.ts","106","Chat unconditionally transcodes browser audio through a handwritten WAV encoder"
"F63","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","484","Chat unconditionally transcodes browser audio through a handwritten WAV encoder"
"F63","finding-reference","apps/web/src/features/compose/components/compose-workspace.tsx","236","Chat unconditionally transcodes browser audio through a handwritten WAV encoder"
"F64","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","477","Compose omits the transcription limits that chat checks before upload"
"F64","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","490","Compose omits the transcription limits that chat checks before upload"
"F64","finding-reference","apps/web/src/features/compose/components/compose-workspace.tsx","236","Compose omits the transcription limits that chat checks before upload"
"F64","finding-reference","packages/orpc/src/routers/chat.ts","20","Compose omits the transcription limits that chat checks before upload"
"F65","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","506","Transcription error classification depends on English message prefixes"
"F65","finding-reference","packages/orpc/src/routers/chat.ts","192","Transcription error classification depends on English message prefixes"
"F65","finding-reference","packages/ai/src/openrouter-transcription.ts","16","Transcription error classification depends on English message prefixes"
"F66","finding-reference","apps/web/src/lib/audio-recorder.ts","3","The recording value type is declared twice with the same fields"
"F66","finding-reference","apps/web/src/lib/audio-transcription.ts","6","The recording value type is declared twice with the same fields"
"F67","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","506","Backfill ownership is checked after another mailbox's batch runs"
"F67","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","516","Backfill ownership is checked after another mailbox's batch runs"
"F67","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","372","Backfill ownership is checked after another mailbox's batch runs"
"F68","finding-reference","packages/orpc/src/routers/mail/managed-organization.ts","52","Reading backfill status is the scheduler, and processing stops without readers"
"F68","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","401","Reading backfill status is the scheduler, and processing stops without readers"
"F68","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","503","Reading backfill status is the scheduler, and processing stops without readers"
"F68","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","516","Reading backfill status is the scheduler, and processing stops without readers"
"F69","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","373","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress"
"F69","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","434","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress"
"F69","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","475","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress"
"F69","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","533","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress"
"F69","finding-reference","packages/database/src/schema.ts","2251","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress"
"F70","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","409","Backfill advances past failures without a retry record or useful failure detail"
"F70","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","428","Backfill advances past failures without a retry record or useful failure detail"
"F70","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","438","Backfill advances past failures without a retry record or useful failure detail"
"F70","finding-reference","packages/database/src/schema.ts","2229","Backfill advances past failures without a retry record or useful failure detail"
"F71","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","274","Rule preview ORs repeated filter types while execution ANDs every filter"
"F71","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","289","Rule preview ORs repeated filter types while execution ANDs every filter"
"F71","finding-reference","packages/orpc/src/managed-mail/search/evaluator.ts","229","Rule preview ORs repeated filter types while execution ANDs every filter"
"F71","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","322","Rule preview ORs repeated filter types while execution ANDs every filter"
"F72","finding-reference","packages/orpc/src/managed-mail/search/evaluator.ts","52","Accepted `is:archived` conditions never match archived messages in rules"
"F72","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","94","Accepted `is:archived` conditions never match archived messages in rules"
"F72","finding-reference","packages/mail/src/search.ts","200","Accepted `is:archived` conditions never match archived messages in rules"
"F73","finding-reference","packages/orpc/src/managed-mail/search/evaluator.ts","24","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F73","finding-reference","packages/orpc/src/managed-mail/search/evaluator.ts","157","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F73","finding-reference","packages/orpc/src/managed-mail/search/evaluator.ts","223","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F73","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","182","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F73","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","239","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F73","finding-reference","packages/database/src/schema.ts","1788","Separate text matchers disagree on nulls, whitespace, filenames, and free-text semantics"
"F74","finding-reference","packages/mail/src/search.ts","23","The rule search assertion accepts invalid filters that SQL silently removes"
"F74","finding-reference","packages/orpc/src/managed-mail/search/normalization.ts","59","The rule search assertion accepts invalid filters that SQL silently removes"
"F74","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","36","The rule search assertion accepts invalid filters that SQL silently removes"
"F74","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","230","The rule search assertion accepts invalid filters that SQL silently removes"
"F75","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","320","A partly applied rule can invalidate its own match and permanently skip remaining actions"
"F75","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","518","A partly applied rule can invalidate its own match and permanently skip remaining actions"
"F75","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","534","A partly applied rule can invalidate its own match and permanently skip remaining actions"
"F75","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","676","A partly applied rule can invalidate its own match and permanently skip remaining actions"
"F75","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","697","A partly applied rule can invalidate its own match and permanently skip remaining actions"
"F76","finding-reference","packages/orpc/src/managed-mail/labels/service.ts","154","Label renames and deletions leave saved searches and rule predicates inconsistent"
"F76","finding-reference","packages/orpc/src/managed-mail/labels/service.ts","269","Label renames and deletions leave saved searches and rule predicates inconsistent"
"F76","finding-reference","packages/orpc/src/managed-mail/labels/service.ts","323","Label renames and deletions leave saved searches and rule predicates inconsistent"
"F76","finding-reference","packages/orpc/src/managed-mail/search/compiler.ts","74","Label renames and deletions leave saved searches and rule predicates inconsistent"
"F77","finding-reference","packages/orpc/src/saved-views/service.ts","158","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/orpc/src/saved-views/service.ts","207","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/orpc/src/managed-mail/labels/service.ts","134","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/orpc/src/managed-mail/rules/service.ts","149","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/database/src/schema.ts","2025","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/database/src/schema.ts","2066","Normal duplicate-name input escapes as an unexpected database error"
"F77","finding-reference","packages/database/src/schema.ts","2113","Normal duplicate-name input escapes as an unexpected database error"
"F78","finding-reference","packages/orpc/src/routers/ai.ts","191","Interactive memory requests bypass entitlement and balance checks"
"F78","finding-reference","packages/orpc/src/routers/ai.ts","206","Interactive memory requests bypass entitlement and balance checks"
"F78","finding-reference","packages/orpc/src/ai-memory.ts","831","Interactive memory requests bypass entitlement and balance checks"
"F78","finding-reference","packages/orpc/src/ai-memory.ts","864","Interactive memory requests bypass entitlement and balance checks"
"F78","finding-reference","packages/orpc/src/ai-memory.ts","950","Interactive memory requests bypass entitlement and balance checks"
"F78","finding-reference","packages/billing/src/index.ts","438","Interactive memory requests bypass entitlement and balance checks"
"F79","finding-reference","packages/orpc/src/routers/ai.ts","140","Memory RPCs turn arbitrary backend failures into verbatim user errors"
"F79","finding-reference","packages/orpc/src/routers/ai.ts","223","Memory RPCs turn arbitrary backend failures into verbatim user errors"
"F79","finding-reference","packages/orpc/src/routers/ai.ts","333","Memory RPCs turn arbitrary backend failures into verbatim user errors"
"F79","finding-reference","packages/orpc/src/ai-memory.ts","896","Memory RPCs turn arbitrary backend failures into verbatim user errors"
"F80","finding-reference","apps/web/src/features/settings/components/organization-settings/organization-mail-usage-settings.tsx","566","Saving reordered milestones can leave the form permanently dirty"
"F80","finding-reference","packages/billing/src/organization-mail-usage.ts","94","Saving reordered milestones can leave the form permanently dirty"
"F80","finding-reference","packages/orpc/src/routers/organization-mail-usage.ts","75","Saving reordered milestones can leave the form permanently dirty"
"F81","finding-reference","apps/web/src/features/settings/components/organization-settings/organization-mail-usage-settings.tsx","389","Usage settings accept edits during save and then discard them"
"F82","finding-reference","apps/web/src/features/settings/components/managed-mailbox-detail-settings.tsx","445","Managed mailbox name remains at an unsaved value after failure"
"F83","finding-reference","apps/web/src/features/settings/components/gmail-mailbox-name-settings.tsx","26","Clearing a Gmail name never reaches a clean saved state"
"F84","finding-reference","packages/ui/src/components/ui/token-field.tsx","354","IME confirmation can submit an unfinished chat prompt"
"F84","finding-reference","apps/web/src/features/chat/components/chat-view.tsx","451","IME confirmation can submit an unfinished chat prompt"
"F84","finding-reference","apps/web/src/features/chat/components/chat-composer.tsx","127","IME confirmation can submit an unfinished chat prompt"
"F85","finding-reference","packages/ui/src/components/ui/token-field.tsx","62","Multiple mentions force a full editable-DOM rebuild on every input"
"F85","finding-reference","packages/ui/src/components/ui/token-field-dom.ts","278","Multiple mentions force a full editable-DOM rebuild on every input"
"F85","finding-reference","apps/web/src/features/chat/components/chat-composer.tsx","127","Multiple mentions force a full editable-DOM rebuild on every input"
"F86","finding-reference","apps/web/src/features/settings/components/settings-search.tsx","126","Settings search result activation requires a mouse-down event"
"F86","finding-reference","packages/ui/src/components/ui/token-field.tsx","108","Settings search result activation requires a mouse-down event"
"F87","finding-reference","apps/web/src/features/settings/components/organization-settings/register-domain-dialog.tsx","190","Domain mode cards look clickable but only their radio circles work"
"F87","finding-reference","packages/ui/src/components/ui/radio-group.tsx","11","Domain mode cards look clickable but only their radio circles work"
"F88","finding-reference","packages/ui/src/components/ui/token-field.tsx","173","Empty token suggestions advertise an active option that does not exist"
"F88","finding-reference","apps/web/src/features/chat/components/chat-composer.tsx","127","Empty token suggestions advertise an active option that does not exist"
"F89","finding-reference","apps/web/src/features/hotkeys/components/keyboard-shortcuts-dialog.tsx","187","Keyboard shortcuts close button omits the required shared tooltip"
"F89","finding-reference","packages/ui/src/components/ui/full-page-dialog.tsx","72","Keyboard shortcuts close button omits the required shared tooltip"
"F90","finding-reference","apps/web/src/features/message-thread/components/message-body.tsx","119","Message-image error handling uses a redundant ref and synchronization effect"
"F91","finding-reference","apps/web/src/features/compose/components/compose-workspace.tsx","236","Transcription completion can append after the active mailbox changes"
"F91","finding-reference","apps/web/src/features/mailbox/components/mailbox-workspace.tsx","575","Transcription completion can append after the active mailbox changes"
"F92","finding-reference","apps/web/src/features/message-thread/components/message-view.tsx","1168","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","apps/web/src/features/message-thread/components/message-view.tsx","1553","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","apps/web/src/features/message-thread/components/message-attachments.tsx","207","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","apps/web/src/features/message-thread/components/message-attachments.tsx","261","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","apps/web/src/features/message-thread/components/message-attachments.tsx","312","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","packages/orpc/src/routers/connectors.ts","13","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","packages/orpc/src/connectors/service.ts","1155","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","packages/orpc/src/gmail-mailbox-access.ts","285","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F92","finding-reference","packages/orpc/src/routers/mail.ts","532","Managed-mail invitations expose an action that requires a Gmail mailbox"
"F93","finding-reference","packages/mail/src/search.ts","58","Parsing combined status filters silently keeps only the last one"
"F93","finding-reference","packages/mail/src/search.ts","317","Parsing combined status filters silently keeps only the last one"
"F93","finding-reference","packages/gmail/src/service.ts","517","Parsing combined status filters silently keeps only the last one"
"F94","finding-reference","packages/mail/src/search.ts","243","Search normalization changes quoted phrases and Boolean expressions"
"F94","finding-reference","packages/mail/src/search.ts","330","Search normalization changes quoted phrases and Boolean expressions"
"F94","finding-reference","packages/mail/src/search.ts","338","Search normalization changes quoted phrases and Boolean expressions"
"F94","finding-reference","packages/gmail/src/service.ts","517","Search normalization changes quoted phrases and Boolean expressions"
"F95","finding-reference","packages/mail/src/message-content.ts","121","Mojibake repair truncates unrelated Unicode characters"
"F95","finding-reference","packages/mail/src/message-content.ts","134","Mojibake repair truncates unrelated Unicode characters"
"F95","finding-reference","packages/mail/src/message-content.ts","214","Mojibake repair truncates unrelated Unicode characters"
"F96","finding-reference","packages/mail/src/message-content.ts","204","Header decoding applies destructive HTML and zero-width cleanup to addresses and subjects"
"F96","finding-reference","packages/mail/src/message-content.ts","210","Header decoding applies destructive HTML and zero-width cleanup to addresses and subjects"
"F96","finding-reference","packages/gmail/src/service.ts","958","Header decoding applies destructive HTML and zero-width cleanup to addresses and subjects"
"F97","finding-reference","packages/mail/src/message-content.ts","442","An inline attachment can disappear from both exported attachment lists"
"F97","finding-reference","packages/mail/src/message-content.ts","485","An inline attachment can disappear from both exported attachment lists"
"F97","finding-reference","packages/gmail/src/service.ts","1119","An inline attachment can disappear from both exported attachment lists"
"F97","finding-reference","packages/gmail/src/service.ts","1080","An inline attachment can disappear from both exported attachment lists"
"F98","finding-reference","packages/mail/src/sender-avatar.ts","61","Sender extraction mistakes an email in the display name for the actual sender"
"F98","finding-reference","apps/web/src/lib/gmail/message-utils.ts","32","Sender extraction mistakes an email in the display name for the actual sender"
"F98","finding-reference","apps/web/src/features/message-thread/components/message-view.tsx","222","Sender extraction mistakes an email in the display name for the actual sender"
"F99","finding-reference","packages/mail/src/compose/schema.ts","90","Recipient validation accepts a valid substring and silently drops another address"
"F99","finding-reference","packages/mail/src/compose/schema.ts","120","Recipient validation accepts a valid substring and silently drops another address"
"F99","finding-reference","packages/mail/src/send.ts","391","Recipient validation accepts a valid substring and silently drops another address"
"F99","finding-reference","packages/mail/src/send.ts","459","Recipient validation accepts a valid substring and silently drops another address"
"F100","finding-reference","packages/gmail/src/compose/draft-parser.ts","33","Draft save responses return encoded subjects as editable text"
"F100","finding-reference","packages/gmail/src/compose/draft-parser.ts","61","Draft save responses return encoded subjects as editable text"
"F100","finding-reference","packages/orpc/src/gmail-compose.ts","76","Draft save responses return encoded subjects as editable text"
"F100","finding-reference","packages/orpc/src/gmail-compose.ts","97","Draft save responses return encoded subjects as editable text"
"F101","finding-reference","packages/sdk/src/index.ts","158","SDK base URL silently discards a configured path prefix"
"F101","finding-reference","packages/sdk/src/index.ts","229","SDK base URL silently discards a configured path prefix"
"F101","finding-reference","packages/sdk/src/index.ts","243","SDK base URL silently discards a configured path prefix"
"F101","finding-reference","packages/sdk/src/index.ts","311","SDK base URL silently discards a configured path prefix"
"F102","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","58","Rule-history parsing constructs an argument it never reads"
"F102","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","643","Rule-history parsing constructs an argument it never reads"
"F103","finding-reference","packages/orpc/src/organization/divisions.ts","96","A private division lookup carries an unused database override"
"F103","finding-reference","packages/orpc/src/organization/divisions.ts","120","A private division lookup carries an unused database override"
"F104","finding-reference","packages/billing/src/subscription-sync.ts","91","Subscription normalization is followed by impossible checks and a redundant alias"
"F104","finding-reference","packages/billing/src/subscription-sync.ts","105","Subscription normalization is followed by impossible checks and a redundant alias"
"F104","finding-reference","packages/billing/src/subscription-sync.ts","119","Subscription normalization is followed by impossible checks and a redundant alias"
"F105","finding-reference","packages/orpc/src/managed-mail/labels/repository.ts","13","Three files independently spell the same client-or-transaction type"
"F105","finding-reference","packages/orpc/src/managed-mail/rules/evaluator.ts","37","Three files independently spell the same client-or-transaction type"
"F105","finding-reference","packages/orpc/src/routers/mail-domains.ts","37","Three files independently spell the same client-or-transaction type"
"F106","finding-reference","packages/orpc/src/gmail-live-sync-token.ts","9","Live-sync token payload validation is copied between issuer and Worker"
"F106","finding-reference","packages/cloudflare/src/worker-utils.ts","38","Live-sync token payload validation is copied between issuer and Worker"
"F107","finding-reference","packages/aws/scripts/backfill-managed-mail-r2.ts","11","Zero backfill concurrency reports successful copies without doing them"
"F107","finding-reference","packages/aws/scripts/backfill-managed-mail-r2.ts","51","Zero backfill concurrency reports successful copies without doing them"
"F107","finding-reference","packages/aws/scripts/backfill-managed-mail-r2.ts","121","Zero backfill concurrency reports successful copies without doing them"
"F107","finding-reference","packages/env/src/server.ts","106","Zero backfill concurrency reports successful copies without doing them"
"F108","finding-reference","packages/env/src/local-doctor.ts","29","The local Worker and Node commands parse the same env file differently"
"F108","finding-reference","scripts/prepare-local-workers.ts","7","The local Worker and Node commands parse the same env file differently"
"F108","finding-reference","scripts/prepare-local-workers.ts","23","The local Worker and Node commands parse the same env file differently"
"F108","finding-reference","package.json","26","The local Worker and Node commands parse the same env file differently"
"F109","finding-reference","scripts/local-linked-secrets.ts","44","Secret refresh serializes dotenv values as JSON strings"
"F109","finding-reference","scripts/local-secrets.ts","108","Secret refresh serializes dotenv values as JSON strings"
"F109","finding-reference","scripts/local-secrets.ts","41","Secret refresh serializes dotenv values as JSON strings"
"F110","finding-reference","packages/orpc/tests/mail-domain-catch-all.test.ts","36","Catch-all authorization and claim tests survive removal of every SQL predicate"
"F110","finding-reference","packages/orpc/tests/mail-domain-catch-all.test.ts","81","Catch-all authorization and claim tests survive removal of every SQL predicate"
"F110","finding-reference","packages/orpc/tests/helpers/fake-database.ts","50","Catch-all authorization and claim tests survive removal of every SQL predicate"
"F110","finding-reference","packages/orpc/tests/helpers/fake-database.ts","71","Catch-all authorization and claim tests survive removal of every SQL predicate"
"F111","finding-reference","apps/web/src/features/settings/components/settings-prefetch.test.ts","11","Prefetch tests lock down independent call order and do not test their claimed deduplication"
"F111","finding-reference","apps/web/src/features/settings/components/settings-prefetch.test.ts","24","Prefetch tests lock down independent call order and do not test their claimed deduplication"
"F111","finding-reference","apps/web/src/features/settings/components/settings-prefetch.test.ts","30","Prefetch tests lock down independent call order and do not test their claimed deduplication"
"F111","finding-reference","apps/web/src/features/settings/components/settings-prefetch.ts","38","Prefetch tests lock down independent call order and do not test their claimed deduplication"
"F112","finding-reference","packages/orpc/package.json","41","Five dependency declarations have no consumer in their owning workspace"
"F112","finding-reference","packages/orpc/package.json","42","Five dependency declarations have no consumer in their owning workspace"
"F112","finding-reference","packages/billing/package.json","19","Five dependency declarations have no consumer in their owning workspace"
"F112","finding-reference","packages/aws/package.json","15","Five dependency declarations have no consumer in their owning workspace"
"F112","finding-reference","package.json","45","Five dependency declarations have no consumer in their owning workspace"
"F113","finding-reference","packages/orpc/src/managed-mail/messages/deletion.ts","1","A complete managed-message deletion implementation is unreachable"
"F113","finding-reference","packages/orpc/src/managed-mail/messages/deletion.ts","104","A complete managed-message deletion implementation is unreachable"
"F113","finding-reference","packages/orpc/src/managed-mail/messages/deletion.ts","139","A complete managed-message deletion implementation is unreachable"
"F114","finding-reference","apps/web/src/components/contour-lines.tsx","176","The unused contour renderer retains 323 lines and a lint exception"
"F114","finding-reference","vite.config.ts","181","The unused contour renderer retains 323 lines and a lint exception"
"F115","finding-reference","apps/web/src/lib/terms-acceptance.ts","5","The browser terms-cookie writer has no caller"
"F115","finding-reference","vite.config.ts","260","The browser terms-cookie writer has no caller"
"F116","finding-reference","packages/orpc/src/gmail-compose.ts","24","Obsolete compose and AI compatibility exports remain after caller migration"
"F116","finding-reference","packages/orpc/src/gmail-compose.ts","32","Obsolete compose and AI compatibility exports remain after caller migration"
"F116","finding-reference","packages/ai/src/classify-gmail-message.ts","163","Obsolete compose and AI compatibility exports remain after caller migration"
"F116","finding-reference","packages/ai/src/extract-gmail-useful-detail.ts","257","Obsolete compose and AI compatibility exports remain after caller migration"
"F117","finding-reference",".github/workflows/pr-size.yml","4","PR size label-definition synchronization can never run"
"F117","finding-reference",".github/workflows/pr-size.yml","58","PR size label-definition synchronization can never run"
"F117","finding-reference",".github/workflows/pr-size.yml","61","PR size label-definition synchronization can never run"
