group,finding,path,line,name,lines,decision
"10","F42","packages/orpc/src/connectors/runtime.ts","131","encryptConnectorSecret","4","Consolidate duplicated connector execution"
"10","F42","packages/orpc/src/connectors/service.ts","279","encryptConnectorSecret","4","Consolidate duplicated connector execution"
"11","F42","packages/orpc/src/connectors/runtime.ts","136","decryptConnectorSecret","4","Consolidate duplicated connector execution"
"11","F42","packages/orpc/src/connectors/service.ts","284","decryptConnectorSecret","4","Consolidate duplicated connector execution"
"12","F42","packages/orpc/src/connectors/runtime.ts","154","createGoogleApiError","20","Consolidate duplicated connector execution"
"12","F42","packages/orpc/src/connectors/service.ts","309","createGoogleApiError","20","Consolidate duplicated connector execution"
"13","F42","packages/orpc/src/connectors/runtime.ts","175","hasCachedConnectorAccessToken","11","Consolidate duplicated connector execution"
"13","F42","packages/orpc/src/connectors/service.ts","760","hasCachedConnectorAccessToken","11","Consolidate duplicated connector execution"
"14","F42","packages/orpc/src/connectors/runtime.ts","187","hasConnectedConnector","18","Consolidate duplicated connector execution"
"14","F42","packages/orpc/src/connectors/service.ts","736","hasConnectedConnector","18","Consolidate duplicated connector execution"
"15","F42","packages/orpc/src/connectors/runtime.ts","206","getConnectorRepairRequiredError","4","Consolidate duplicated connector execution"
"15","F42","packages/orpc/src/connectors/service.ts","755","getConnectorRepairRequiredError","4","Consolidate duplicated connector execution"
"16","F42","packages/orpc/src/connectors/runtime.ts","392","runAuthorizedConnector","18","Consolidate duplicated connector execution"
"16","F42","packages/orpc/src/connectors/service.ts","1002","runAuthorizedConnector","18","Consolidate duplicated connector execution"
"17","F42","packages/orpc/src/connectors/runtime.ts","495","runAuthorizedConnectorCredential","35","Consolidate duplicated connector execution"
"17","F42","packages/orpc/src/connectors/service.ts","1021","runAuthorizedConnectorCredential","35","Consolidate duplicated connector execution"
"18","F42","packages/orpc/src/connectors/runtime.ts","607","normalizeGoogleCalendarEventDate","19","Consolidate duplicated connector execution"
"18","F42","packages/orpc/src/connectors/service.ts","1083","normalizeGoogleCalendarEventDate","19","Consolidate duplicated connector execution"
"19","F42","packages/orpc/src/connectors/runtime.ts","627","normalizeGoogleCalendarEvent","9","Consolidate duplicated connector execution"
"19","F42","packages/orpc/src/connectors/service.ts","1103","normalizeGoogleCalendarEvent","9","Consolidate duplicated connector execution"
"20","","packages/orpc/src/connectors/service.ts","182","normalizeReturnTo","11","Same guard in two authorization lifecycles; centralization optional, do not import provider service graphs for this helper"
"20","","packages/orpc/src/mailbox/service.ts","102","normalizeReturnTo","11","Same guard in two authorization lifecycles; centralization optional, do not import provider service graphs for this helper"
"21","F55","packages/orpc/src/gmail-sync/service.ts","232","reportAutoLabelUsage","59","Consolidate identical accounting operation"
"21","F55","packages/orpc/src/managed-mail/automation.ts","223","reportManagedAutoLabelUsage","59","Consolidate identical accounting operation"
"22","","packages/orpc/src/mail-domain/service.ts","79","getSesv2Client","5","Keep unless a concrete contract or drift cost justifies consolidation"
"22","","packages/orpc/src/managed-mail/messages/service.ts","221","getSesv2Client","5","Keep unless a concrete contract or drift cost justifies consolidation"
"22","","packages/orpc/src/organization-mail.ts","62","getSesv2Client","5","Keep unless a concrete contract or drift cost justifies consolidation"
"23","","packages/orpc/src/mail-domain/service.ts","149","hasOrganizationManagerRole","5","Keep unless a concrete contract or drift cost justifies consolidation"
"23","","packages/orpc/src/organization-api-mail.ts","100","canManageOrganization","5","Keep unless a concrete contract or drift cost justifies consolidation"
"24","","packages/orpc/src/managed-mail/messages/service.ts","336","encodeManagedPageCursor","4","Keep unless a concrete contract or drift cost justifies consolidation"
"24","","packages/orpc/src/organization-api-mail.ts","88","encodePageCursor","4","Keep unless a concrete contract or drift cost justifies consolidation"
"25","","packages/ui/src/components/ui/alert-dialog.tsx","64","AlertDialogFooter","9","Keep unless a concrete contract or drift cost justifies consolidation"
"25","","packages/ui/src/components/ui/dialog.tsx","64","DialogFooter","9","Keep unless a concrete contract or drift cost justifies consolidation"
